,"Table S1 All DEGs obtained in this study with annotation and TPM. Pre-po, Pol, Post-pol y Fer",,,,,,,,,,,,
TRINITY_DN11694_c0_g1_i2,PUB7_ARATH,PF04564.16,U-box domain   ,|0016567|0007166,|protein ubiquitination|cell surface receptor signaling pathway,|0004842|0016874|0016746,|ubiquitin-protein transferase activity|ligase activity|transferase activity transferring acyl groups,|0005634|0005741|0016021,|nucleus|mitochondrial outer membrane|integral component of membrane,0,0,118.3255,0
TRINITY_DN116_c0_g1_i11,U2A2B_NICPL,PF00076.23,RNA recognition motif. (a.k.a. RRM,|0008380|0006397,|RNA splicing|mRNA processing,|0008187|0030628,|poly-pyrimidine tract binding|pre-mRNA 3'-splice site binding,|0000243|0089701|0071004|0016607,|commitment complex|U2AF complex|U2-type prespliceosome|nuclear speck,261.2455,388.3675,733.1325,3687.1215
TRINITY_DN11739_c0_g1_i2,NOMT_NARAP,PF01596.18,O-methyltransferase    ,|0032259|0033486|0033485|0009718|0043473,|methylation|delphinidin 3-O-glucoside biosynthetic process|cyanidin 3-O-glucoside biosynthetic process|anthocyanin-containing compound biosynthetic process|pigmentation,|0008168|0046872,|methyltransferase activity|metal ion binding,|0005737,|cytoplasm,346.365,529.6795,4229.5355,151.481
TRINITY_DN1173_c0_g1_i5,IAA6_ORYSJ,PF02309.17,AUX/IAA family   ,|0009734|0006355|0009736|0000160,|auxin-activated signaling pathway|regulation of transcription DNA-templated|cytokinin-activated signaling pathway|phosphorelay signal transduction system,|0016874,|ligase activity,|0005634|0005829|0016021,|nucleus|cytosol|integral component of membrane,80.2515,0,107.625,58.3065
TRINITY_DN11933_c0_g1_i2,HAC1_ARATH,PF08214.12,Histone acetylation protein  ,|0016573|0006355|1903508,|histone acetylation|regulation of transcription DNA-templated|positive regulation of nucleic acid-templated transcription,|0004402|0008270|0001085|0031490|0003712|0003924|0005525,|histone acetyltransferase activity|zinc ion binding|RNA polymerase II transcription factor binding|chromatin DNA binding|transcription coregulator activity|GTPase activity|GTP binding,|0005634|0031248|0005667|0070013|0043233|0016021,|nucleus|protein acetyltransferase complex|transcription regulator complex|intracellular organelle lumen|organelle lumen|integral component of membrane,0,0,0,185.6605
TRINITY_DN11974_c0_g1_i8,MDAR3_ORYSJ,PF07992.15,Pyridine nucleotide-disulphide oxidoreductase  ,.,.,.,.,.,.,0.5,0,3,56
TRINITY_DN12127_c0_g1_i1,ATL51_ARATH,PF13639.7,Ring finger domain  ,.,.,|0016746|0016787,|transferase activity transferring acyl groups|hydrolase activity,|0016021,|integral component of membrane,14169.615,10412.1775,344.903,3737.491
TRINITY_DN1212_c0_g1_i4,HSP83_IPONI,PF00183.19,Hsp90 protein   ,|0006457|0050821|0034605|0042742|0045087,|protein folding|protein stabilization|cellular response to heat|defense response to bacterium|innate immune response,|0051082|0005524,|unfolded protein binding|ATP binding,|0048471|0009986|0005829|0032991|0005886,|perinuclear region of cytoplasm|cell surface|cytosol|protein-containing complex|plasma membrane,0,0,0,64.6815
TRINITY_DN12202_c0_g1_i4,RL222_ARATH,PF01776.18,Ribosomal L22e protein family ,|0006412,|translation,|0003735|0003723,|structural constituent of ribosome|RNA binding,|0005840,|ribosome,1813.551,10.503,28.3655,0
TRINITY_DN1220_c0_g1_i2,RVE8_ARATH,PF00249.32,Myb-like DNA-binding domain  ,|0006468,|protein phosphorylation,|0003677|0004672,|DNA binding|protein kinase activity,|0005634|0016021,|nucleus|integral component of membrane,4356.7655,137.9025,83.602,0
TRINITY_DN1220_c0_g1_i4,RVE8_ARATH,.,.,.,.,|0003677,|DNA binding,|0005634|0016021,|nucleus|integral component of membrane,887.565,14.7105,8.317,0
TRINITY_DN1220_c0_g1_i7,RVE8_ARATH,PF00249.32,Myb-like DNA-binding domain  ,|0006468,|protein phosphorylation,|0003677|0004672,|DNA binding|protein kinase activity,|0005634|0016021,|nucleus|integral component of membrane,154.2405,0,268.9535,126.1865
TRINITY_DN1235_c0_g1_i13,IF2B_WHEAT,PF01873.18,Domain found in IF2B/IF5 ,|0006413|0002181|0022618,|translational initiation|cytoplasmic translation|ribonucleoprotein complex assembly,|0003743|0031369|0003729|0046872,|translation initiation factor activity|translation initiation factor binding|mRNA binding|metal ion binding,|0005850|0005886|0016021,|eukaryotic translation initiation factor 2 complex|plasma membrane|integral component of membrane,1984.91,276.1585,1035.224,0
TRINITY_DN12416_c0_g1_i2,CALR1_ARATH,PF00262.19,Calreticulin family   ,|0006457|0030968|0046686|0006979,|protein folding|endoplasmic reticulum unfolded protein response|response to cadmium ion|response to oxidative stress,|0051082|0030246|0005509,|unfolded protein binding|carbohydrate binding|calcium ion binding,|0005788|0005789|0005773|0009506|0099503|0005794|0098588|0005739|0005829|0005576|0005634|0016021,|endoplasmic reticulum lumen|endoplasmic reticulum membrane|vacuole|plasmodesma|secretory vesicle|Golgi apparatus|bounding membrane of organelle|mitochondrion|cytosol|extracellular region|nucleus|integral component of membrane,0,95.1915,111.8805,131.244
TRINITY_DN12483_c0_g2_i1,CYP1_CROXC,PF00067.23,Cytochrome P450   ,.,.,.,.,.,.,84.0485,0,185.64,0
TRINITY_DN12518_c0_g1_i1,SIRP1_ORYSJ,PF14369.7,zinc-ribbon    ,|0016567|0006511|0010200,|protein ubiquitination|ubiquitin-dependent protein catabolic process|response to chitin,|0061630|0046872|0016874|0016746,|ubiquitin protein ligase activity|metal ion binding|ligase activity|transferase activity transferring acyl groups,|0005737|0005576|0016021,|cytoplasm|extracellular region|integral component of membrane,108.432,0,0,0
TRINITY_DN12549_c0_g1_i7,HIP1_ORYSJ,PF13639.7,Ring finger domain  ,.,.,.,.,.,.,110.159,0,261.402,668.4395
TRINITY_DN12576_c0_g1_i7,GATA5_ARATH,PF00320.28,GATA zinc finger  ,|0045893|0030154|0007623|0009416,|positive regulation of transcription DNA-templated|cell differentiation|circadian rhythm|response to light stimulus,|0043565|0008270|0003700,|sequence-specific DNA binding|zinc ion binding|DNA-binding transcription factor activity,|0005634,|nucleus,159.6225,140.5415,152.476,0
TRINITY_DN12594_c1_g2_i3,Y1666_ARATH,PF15336.7,Autism susceptibility gene 2 protein,.,.,.,.,.,.,382.81,559.487,499.132,0
TRINITY_DN12705_c1_g1_i8,MA651_ARATH,PF03999.13,Microtubule associated protein (MAP65/ASE1 family),|0000226|0000911,|microtubule cytoskeleton organization|cytokinesis by cell plate formation,|0008017,|microtubule binding,|0005874|0005819|0005737,|microtubule|spindle|cytoplasm,135.5805,108.932,177.121,0
TRINITY_DN1272_c0_g1_i4,CSU1_ARATH,PF15906.6,Zinc-finger of nitric oxide synthase-interacting,|0016567,|protein ubiquitination,|0061630|0016874,|ubiquitin protein ligase activity|ligase activity,|0005634,|nucleus,358.945,343.457,505.492,0
TRINITY_DN13113_c0_g1_i5,ATX2_ARATH,PF13832.7,PHD-zinc-finger like domain  ,.,.,.,.,.,.,152.55,184.329,170.859,0
TRINITY_DN13143_c0_g1_i26,FPP4_ARATH,PF05911.12,Filament-like plant protein,|0010090|0046785,|trichome morphogenesis|microtubule polymerization,|0008017,|microtubule binding,|0005886,|plasma membrane,0.5,2.5,20.03,153
TRINITY_DN13199_c0_g1_i1,OCT3_ARATH,PF00083.25,Sugar (and other) transporter ,|0055085|0006817|0070417|0008643,|transmembrane transport|phosphate ion transport|cellular response to cold|carbohydrate transport,|0022857|0005524,|transmembrane transporter activity|ATP binding,|0016021|0009705,|integral component of membrane|plant-type vacuole membrane,149.671,0,0,0
TRINITY_DN1327_c0_g1_i34,NTL9_ARATH,PF02365.16,No apical meristem (NAM) protein,|0006355|0006368|0016570,|regulation of transcription DNA-templated|transcription elongation from RNA polymerase II promoter|histone modification,|0003677|0000993|0003682,|DNA binding|RNA polymerase II complex binding|chromatin binding,|0016021|0035327|0016593,|integral component of membrane|transcriptionally active chromatin|Cdc73/Paf1 complex,138.26,165.694,284.1985,0
TRINITY_DN1330_c0_g1_i3,ANL2_ARATH,PF01852.20,START domain   ,|0006357,|regulation of transcription by RNA polymerase II,|0008289|0000981|0003677,|lipid binding|DNA-binding transcription factor activity RNA polymerase II-specific|DNA binding,|0005634,|nucleus,602.8665,280.689,0,15.5735
TRINITY_DN133_c0_g1_i11,DNAJ_CLOTE,PF13456.7,Reverse transcriptase-like   ,|0006457,|protein folding,|0051082,|unfolded protein binding,|0016021,|integral component of membrane,3058.704,1360.8815,14.8705,72.063
TRINITY_DN133_c0_g1_i13,DNAJ_CLOTE,PF00226.32,DnaJ domain   ,|0006457,|protein folding,|0051082,|unfolded protein binding,|0016021,|integral component of membrane,328.177,95.4175,0,0
TRINITY_DN133_c0_g1_i8,DNAJ_CLOTE,PF00226.32,DnaJ domain   ,|0006457,|protein folding,|0051082,|unfolded protein binding,|0016021,|integral component of membrane,661.429,391.6155,250.4205,0
TRINITY_DN1387_c0_g1_i7,LNK2_ARATH,PF12086.9,Protein of unknown function (DUF3563),.,.,.,.,.,.,96.5525,0,0,0
TRINITY_DN1394_c0_g1_i27,DDM1_ARATH,PF00176.24,SNF2 family N-terminal domain ,|0044030|0032508|0006468,|regulation of DNA methylation|DNA duplex unwinding|protein phosphorylation,|0008094|0005524|0003677|0004386|0106311|0106310|0140097,|DNA-dependent ATPase activity|ATP binding|DNA binding|helicase activity|protein threonine kinase activity|protein serine kinase activity|catalytic activity acting on DNA,|0005634,|nucleus,0,107.6995,0,0
TRINITY_DN13968_c0_g1_i21,NFD4_ARATH,PF06813.14,Nodulin-like    ,|0006817|0055085,|phosphate ion transport|transmembrane transport,|0022857,|transmembrane transporter activity,|0016021,|integral component of membrane,0,0,0,137.94
TRINITY_DN13_c0_g1_i13,DEK_HUMAN,PF08766.12,DEK C terminal domain ,|2000779,|regulation of double-strand break repair,|0042393,|histone binding,|0005634,|nucleus,1265.5165,5.154,9.5205,2.9965
TRINITY_DN1401_c0_g1_i6,MYB05_ANTMA,PF00249.32,Myb-like DNA-binding domain  ,|0080086|0009867|0009585|0009740|0006355,|stamen filament development|jasmonic acid mediated signaling pathway|red far-red light phototransduction|gibberellic acid mediated signaling pathway|regulation of transcription DNA-templated,|0043565|0005515,|sequence-specific DNA binding|protein binding,|0005634,|nucleus,0,172.445,118.5825,92.4235
TRINITY_DN1440_c0_g1_i21,CAND1_ARATH,PF08623.11,TATA-binding protein interacting (TIP20) ,|0010265|0016567|0010051|0010228|0009733,|SCF complex assembly|protein ubiquitination|xylem and phloem pattern formation|vegetative to reproductive phase transition of meristem|response to auxin,.,.,|0005634|0005618|0005829|0005886|0016021,|nucleus|cell wall|cytosol|plasma membrane|integral component of membrane,276.6285,279.605,19.1085,220.9295
TRINITY_DN1450_c0_g1_i3,HS22M_PEA,PF00011.22,Hsp20/alpha crystallin family  ,|0009408|0006970,|response to heat|response to osmotic stress,|0051082,|unfolded protein binding,|0005739,|mitochondrion,0.5,4.5,6,369.5
TRINITY_DN14593_c0_g1_i1,SWT14_ORYSI,PF03083.17,Sugar efflux transporter for intercellular,|0008643|0098656|0048827|0048316|0048609|0071446|0090693|0071215|0071695|0046864|0048466|0071470|0048437|0009790|0048589|0015849|0052543|0009555|0090502,|carbohydrate transport|anion transmembrane transport|phyllome development|seed development|multicellular organismal reproductive process|cellular response to salicylic acid stimulus|plant organ senescence|cellular response to abscisic acid stimulus|anatomical structure maturation|isoprenoid transport|androecium development|cellular response to osmotic stress|floral organ development|embryo development|developmental growth|organic acid transport|callose deposition in cell wall|pollen development|RNA phosphodiester bond hydrolysis endonucleolytic,|0051119|0008515|1905201|0004523|0003676,|sugar transmembrane transporter activity|sucrose transmembrane transporter activity|gibberellin transmembrane transporter activity|RNA-DNA hybrid ribonuclease activity|nucleic acid binding,|0005886|0016021|0000139,|plasma membrane|integral component of membrane|Golgi membrane,177.171,144.1665,166.8635,0
TRINITY_DN1464_c0_g1_i4,SUGP1_ARATH,PF01585.24,G-patch domain   ,|0008380|0006397|0008380|0006397,|RNA splicing|mRNA processing|RNA splicing|mRNA processing,|0003723|0046983|0003723|0046983,|RNA binding|protein dimerization activity|RNA binding|protein dimerization activity,|0005634|0005634,|nucleus|nucleus,0,0,199.611,0
TRINITY_DN1483_c0_g1_i19,PP349_ARATH,PF13041.7,PPR repeat family  ,|0048255,|mRNA stabilization,.,.,|0009507|0016021,|chloroplast|integral component of membrane,236.1125,121.861,153.4755,0
TRINITY_DN1513_c0_g1_i15,Y1765_ARATH,PF07714.18,Protein tyrosine and serine/threonine kinase,|0006468|0031667|0016255|0006508,|protein phosphorylation|response to nutrient levels|attachment of GPI anchor to protein|proteolysis,|0004674|0005524|0003923|0030246,|protein serine/threonine kinase activity|ATP binding|GPI-anchor transamidase activity|carbohydrate binding,|0016021|0005886|0008303|0031227|0140534|0098796,|integral component of membrane|plasma membrane|caspase complex|intrinsic component of endoplasmic reticulum membrane|endoplasmic reticulum protein-containing complex|membrane protein complex,134.1405,157.667,124.04,0
TRINITY_DN1528_c0_g1_i3,BAZ1A_HUMAN,PF00628.30,PHD-finger    ,.,.,|0046872,|metal ion binding,.,.,355.323,287.195,380.61,0
TRINITY_DN1547_c0_g1_i4,RBM25_HUMAN,PF01480.18,PWI domain   ,|0006397,|mRNA processing,|0003723,|RNA binding,|0016021,|integral component of membrane,113.951,121.0015,110.4775,0
TRINITY_DN15496_c0_g1_i7,MYTM1_ARATH,PF06602.15,Myotubularin-like phosphatase domain  ,|0035335|0046856,|peptidyl-tyrosine dephosphorylation|phosphatidylinositol dephosphorylation,|0004438|0004725,|phosphatidylinositol-3-phosphatase activity|protein tyrosine phosphatase activity,.,.,5129.2885,3864.16,8851.676,24.5
TRINITY_DN15629_c0_g1_i5,PDF1_ARATH,PF07172.12,Glycine rich protein family ,|0032774,|RNA biosynthetic process,|0003899,|DNA-directed 5'-3' RNA polymerase activity,|0016021,|integral component of membrane,102.6915,0,158.2285,69.791
TRINITY_DN1664_c0_g1_i22,AMO2_ARTS1,PF01179.21,Copper amine oxidase,|0009308,|amine metabolic process,.,.,.,.,93.3635,0,0,0
TRINITY_DN1674_c0_g1_i9,PSI1_ARATH,PF05003.13,Protein of unknown function (DUF668),|0045927|0045927,|positive regulation of growth|positive regulation of growth,.,.,|0016021,|integral component of membrane,0,0,142.574,0
TRINITY_DN1688_c0_g1_i1,SUA_ARATH,PF01585.24,G-patch domain   ,|0000398,|mRNA splicing via spliceosome,|0003723|0046872,|RNA binding|metal ion binding,|0005634,|nucleus,1186.9905,861.5195,744.4735,12.5
TRINITY_DN1700_c1_g1_i2,E133_ARATH,PF00332.19,Glycosyl hydrolases family 17 ,|0005975|0006952,|carbohydrate metabolic process|defense response,|0042973|0016740,|glucan endo-13-beta-D-glucosidase activity|transferase activity,|0046658|0016021,|anchored component of plasma membrane|integral component of membrane,0,102.713,133.3215,40.498
TRINITY_DN1710_c0_g1_i2,CIPK1_ORYSJ,PF03822.15,NAF domain   ,|0006468|0007165,|protein phosphorylation|signal transduction,|0106311|0106310|0005524|0046983|0003677,|protein threonine kinase activity|protein serine kinase activity|ATP binding|protein dimerization activity|DNA binding,|0005634|0005737|0016021,|nucleus|cytoplasm|integral component of membrane,59.457,358.3025,521.4765,575.8255
TRINITY_DN1721_c0_g1_i4,NAC83_ARATH,PF02365.16,No apical meristem (NAM) protein,|0006355|0010089|0010150|0009651|0009737|1903507|2000113|0016032,|regulation of transcription DNA-templated|xylem development|leaf senescence|response to salt stress|response to abscisic acid|negative regulation of nucleic acid-templated transcription|negative regulation of cellular macromolecule biosynthetic process|viral process,|0003677|0003700|0005515,|DNA binding|DNA-binding transcription factor activity|protein binding,|0005634|0016021,|nucleus|integral component of membrane,630.181,804.0905,1230.416,40.646
TRINITY_DN1727_c0_g1_i1,IPYR1_ARATH,PF00125.25,Core histone H2A/H2B/H3/H4  ,|0010274|0032259|0016310|0006796|0052386|0052546,|hydrotropism|methylation|phosphorylation|phosphate-containing compound metabolic process|cell wall thickening|cell wall pectin metabolic process,|0046982|0003677|0016301|0008168|0004427|0000287,|protein heterodimerization activity|DNA binding|kinase activity|methyltransferase activity|inorganic diphosphatase activity|magnesium ion binding,|0000786|0005634|0010369|0016021|0005737|0005654|0016021,|nucleosome|nucleus|chromocenter|integral component of membrane|cytoplasm|nucleoplasm|integral component of membrane,396.479,15083.831,5768.204,33480.611
TRINITY_DN1757_c0_g1_i8,CEA_COLES,PF01453.25,D-mannose binding lectin  ,.,.,|0005537|0046872,|mannose binding|metal ion binding,|0005576,|extracellular region,0,22.242,464.817,134.053
TRINITY_DN17587_c0_g1_i1,C7D55_HYOMU,PF00067.23,Cytochrome P450   ,.,.,.,.,.,.,385.4485,482.007,20.445,19.879
TRINITY_DN1760_c0_g1_i3,SCAM1_ORYSI,PF04144.14,SCAMP family   ,|0015031|0032012|0050790|0016310,|protein transport|regulation of ARF protein signal transduction|regulation of catalytic activity|phosphorylation,|0005085|0016301,|guanyl-nucleotide exchange factor activity|kinase activity,|0030658|0032588|0055038|0005886|0016021|0005769|0005829|0005634,|transport vesicle membrane|trans-Golgi network membrane|recycling endosome membrane|plasma membrane|integral component of membrane|early endosome|cytosol|nucleus,113.6205,0,104.9695,40.1015
